x y l s
292200.00 492200.00 44 44
292300.00 492300.00 46 46
292400.00 492200.00 44 48
292500.00 492300.00 46 50
292600.00 492200.00 44 52
292700.00 492300.00 46 54
292800.00 492200.00 44 56
292900.00 492300.00 46 58
293000.00 492200.00 44 60
293100.00 492300.00 46 62
293200.00 492200.00 44 64
293300.00 492300.00 46 66
293400.00 492200.00 44 68
293500.00 492300.00 46 70
293600.00 492200.00 44 72
293700.00 492300.00 46 74
293800.00 492200.00 44 76
293900.00 492300.00 46 78
294000.00 492200.00 44 80
294100.00 492300.00 46 82
294200.00 492200.00 44 84
294300.00 492300.00 46 86
294400.00 492200.00 44 88
294500.00 492300.00 46 90
294600.00 492200.00 44 92
294700.00 492300.00 46 94
294800.00 492200.00 44 96
294900.00 492300.00 46 98
295000.00 492200.00 44 100
295100.00 492300.00 46 102
295200.00 492200.00 44 104
295300.00 492300.00 46 106
295400.00 492200.00 44 108
295500.00 492300.00 46 110
295600.00 492200.00 44 112
295700.00 492300.00 46 114
295800.00 492200.00 44 116
295900.00 492300.00 46 118
296000.00 492200.00 44 120
296100.00 492300.00 46 122
296200.00 492200.00 44 124
296300.00 492300.00 46 126
296400.00 492200.00 44 128
296500.00 492300.00 46 130
296600.00 492200.00 44 132
296700.00 492300.00 46 134
296800.00 492200.00 44 136
296900.00 492300.00 46 138
297000.00 492200.00 44 140
297100.00 492300.00 46 142
297200.00 492200.00 44 144
297300.00 492300.00 46 146
297400.00 492200.00 44 148
297500.00 492300.00 46 150
297600.00 492200.00 44 152
297700.00 492300.00 46 154
297800.00 492200.00 44 156
297900.00 492300.00 46 158
298000.00 492200.00 44 160
298100.00 492300.00 46 162
298200.00 492200.00 44 164
298300.00 492300.00 46 166
298400.00 492200.00 44 168
298500.00 492300.00 46 170
298600.00 492200.00 44 172
298700.00 492300.00 46 174
298800.00 492200.00 44 176
298900.00 492300.00 46 178
299000.00 492200.00 44 180
299100.00 492300.00 46 182
299200.00 492200.00 44 184
299300.00 492300.00 46 186
299400.00 492200.00 44 188
299500.00 492300.00 46 190
299600.00 492200.00 44 192
299700.00 492300.00 46 194
299800.00 492200.00 44 196
299900.00 492300.00 46 198
300000.00 492200.00 44 200
300100.00 492300.00 46 202
300200.00 492200.00 44 204
300300.00 492300.00 46 206
300400.00 492200.00 44 208
300500.00 492300.00 46 210
300600.00 492200.00 44 212
300700.00 492300.00 46 214
300800.00 492200.00 44 216
300900.00 492300.00 46 218
301000.00 492200.00 44 220
301100.00 492300.00 46 222
301200.00 492200.00 44 224
301300.00 492300.00 46 226
301400.00 492200.00 44 228
301500.00 492300.00 46 230
301600.00 492200.00 44 232
301700.00 492300.00 46 234
301800.00 492200.00 44 236
301900.00 492300.00 46 238
302000.00 492200.00 44 240
302100.00 492300.00 46 242
302200.00 492200.00 44 244
302300.00 492300.00 46 246
302400.00 492200.00 44 248
302500.00 492300.00 46 250
302600.00 492200.00 44 252
302700.00 492300.00 46 254
302800.00 492200.00 44 256
302900.00 492300.00 46 258
303000.00 492200.00 44 260
303100.00 492300.00 46 262
303200.00 492200.00 44 264
303300.00 492300.00 46 266
303400.00 492200.00 44 268
303500.00 492300.00 46 270
303600.00 492200.00 44 272
303700.00 492300.00 46 274
303800.00 492200.00 44 276
303900.00 492300.00 46 278
304000.00 492200.00 44 280
304100.00 492300.00 46 282
304200.00 492200.00 44 284
304300.00 492300.00 46 286
304400.00 492200.00 44 288
304500.00 492300.00 46 290
304600.00 492200.00 44 292
304700.00 492300.00 46 294
304800.00 492200.00 44 296
304900.00 492300.00 46 298
305000.00 492200.00 44 300
305100.00 492300.00 46 302
305200.00 492200.00 44 304
305300.00 492300.00 46 306
305400.00 492200.00 44 308
305500.00 492300.00 46 310
305600.00 492200.00 44 312
305700.00 492300.00 46 314
305800.00 492200.00 44 316
305900.00 492300.00 46 318
306000.00 492200.00 44 320
306100.00 492300.00 46 322
306200.00 492200.00 44 324
306300.00 492300.00 46 326
306400.00 492200.00 44 328
306500.00 492300.00 46 330
306600.00 492200.00 44 332
306700.00 492300.00 46 334
306800.00 492200.00 44 336
306900.00 492300.00 46 338
307000.00 492200.00 44 340
307100.00 492300.00 46 342
307200.00 492200.00 44 344
307300.00 492300.00 46 346
307400.00 492200.00 44 348
307500.00 492300.00 46 350
307600.00 492200.00 44 352
307700.00 492300.00 46 354
307800.00 492200.00 44 356
307900.00 492300.00 46 358
308000.00 492200.00 44 360
308100.00 492300.00 46 362
308200.00 492200.00 44 364
308300.00 492300.00 46 366
308400.00 492200.00 44 368
308500.00 492300.00 46 370
308600.00 492200.00 44 372
308700.00 492300.00 46 374
308800.00 492200.00 44 376
308900.00 492300.00 46 378
